13
U, 1, 1, 
U, 1, 2, 
U, 1, 3, 
M, 1, 4, 5
U, 1, 5, 
M, 1, 6, 2
U, 1, 7, 
U, 1, 8, 
U, 1, 9, 
U, 2, 1, 
M, 2, 2, 3
K, 2, 3, 5
U, 2, 4, 
M, 2, 5, 7
U, 2, 6, 
U, 2, 7, 
M, 2, 8, 8
U, 2, 9, 
U, 3, 1, 
M, 3, 2, 9
M, 3, 3, 4
M, 3, 4, 8
U, 3, 5, 
M, 3, 6, 1
M, 3, 7, 6
M, 3, 8, 5
U, 3, 9, 
M, 4, 1, 5
K, 4, 2, 6
M, 4, 3, 8
U, 4, 4, 
U, 4, 5, 
U, 4, 6, 
M, 4, 7, 9
K, 4, 8, 2
M, 4, 9, 7
K, 5, 1, 4
U, 5, 2, 
U, 5, 3, 
M, 5, 4, 2
K, 5, 5, 8
M, 5, 6, 6
U, 5, 7, 
U, 5, 8, 
U, 5, 9, 
M, 6, 1, 3
U, 6, 2, 
M, 6, 3, 2
K, 6, 4, 7
U, 6, 5, 
K, 6, 6, 5
M, 6, 7, 8
K, 6, 8, 6
M, 6, 9, 4
U, 7, 1, 
M, 7, 2, 5
M, 7, 3, 3
M, 7, 4, 1
U, 7, 5, 
M, 7, 6, 8
M, 7, 7, 7
M, 7, 8, 4
U, 7, 9, 
U, 8, 1, 
M, 8, 2, 4
U, 8, 3, 
U, 8, 4, 
M, 8, 5, 5
K, 8, 6, 7
U, 8, 7, 
M, 8, 8, 1
U, 8, 9, 
U, 9, 1, 
U, 9, 2, 
U, 9, 3, 
M, 9, 4, 4
U, 9, 5, 
M, 9, 6, 3
U, 9, 7, 
U, 9, 8, 
U, 9, 9, 
